,0,1,2,3
425,ribli,4161271,Bronze 1,PROTOSS
426,KingMida,6928693,Bronze 1,PROTOSS
427,Gimp,8186099,Bronze 1,TERRAN
428,wise,6853696,Bronze 1,TERRAN
429,Pele,9885488,Bronze 1,TERRAN
430,AzazuR,9290246,Bronze 1,TERRAN
431,Skools,2619803,Bronze 1,PROTOSS
432,underleen,1721729,Bronze 1,PROTOSS
433,Turbo,7796479,Bronze 1,PROTOSS
434,XFrix,10022149,Bronze 1,PROTOSS
435,СлаваУкраине,9217561,Bronze 1,TERRAN
436,Александров,394983,Bronze 1,TERRAN
437,дмитрий,10103225,Bronze 1,ZERG
438,MarineX,8679660,Bronze 1,ZERG
439,Guy,2592943,Bronze 1,TERRAN
440,Berserk,9141188,Bronze 1,ZERG
441,angst,4695681,Bronze 1,PROTOSS
442,DarKor,9743382,Bronze 1,TERRAN
443,Snowman,10022248,Bronze 1,PROTOSS
444,Theforceguy,9364140,Bronze 1,TERRAN
445,DJTACOS,10129519,Bronze 1,TERRAN
446,Lacho,7779897,Bronze 1,ZERG
447,Ageman,1949196,Bronze 1,RANDOM
448,юра,2435185,Bronze 1,TERRAN
449,KnotZ,8552270,Bronze 1,TERRAN
450,Kiaruma,10193439,Bronze 1,PROTOSS
451,Azømøn,2276461,Bronze 1,RANDOM
452,luminus,9395066,Bronze 1,TERRAN
453,chamOo,955202,Bronze 1,TERRAN
454,Sheriff,10088402,Bronze 1,TERRAN
455,Iris,8282489,Bronze 1,PROTOSS
456,Fice,8316520,Bronze 1,ZERG
457,CakeSpaten,6723521,Bronze 1,ZERG
458,Shockairblur,2017194,Bronze 1,TERRAN
459,sellar,158531,Bronze 1,TERRAN
460,UNU,9911111,Bronze 1,TERRAN
461,kramer,9992528,Bronze 1,PROTOSS
462,Yellowstar,9728327,Bronze 1,TERRAN
463,DaB,1170644,Bronze 1,PROTOSS
464,FluxyWildly,822181,Bronze 1,PROTOSS
465,Dust,5435914,Bronze 1,ZERG
466,ирик,2088803,Bronze 1,ZERG
467,Nikolya,472268,Bronze 1,ZERG
468,JJustice,9431034,Bronze 1,TERRAN
469,Verlau,1623648,Bronze 1,PROTOSS
470,Ivanidze,5216791,Bronze 1,TERRAN
471,CYU,10088117,Bronze 1,TERRAN
472,Joseph,755198,Bronze 1,TERRAN
473,Zeratul,3779825,Bronze 1,PROTOSS
474,Alex,10004309,Bronze 1,PROTOSS
475,ДимонОмон,9198310,Bronze 1,PROTOSS
476,suuuuffffa,9253905,Bronze 1,TERRAN
477,Dietz,9445630,Bronze 1,PROTOSS
478,StaK,8292003,Bronze 1,TERRAN
479,Megasuna,10104619,Bronze 1,TERRAN
480,lelynx,1510547,Bronze 1,ZERG
481,Champions,7027594,Bronze 1,TERRAN
482,Mihrimahh,9834473,Bronze 1,TERRAN
483,Optem,9369367,Bronze 1,TERRAN
484,Achnei,2225009,Bronze 1,ZERG
485,FriDen,9393139,Bronze 1,ZERG
486,hludoh,10019968,Bronze 1,TERRAN
487,violet,9918717,Bronze 1,PROTOSS
488,CossackBRO,9680566,Bronze 1,ZERG
489,IIIIIIIIIIII,2341917,Bronze 1,TERRAN
490,Eagle,2324291,Bronze 1,TERRAN
491,Shadow,6578163,Bronze 1,TERRAN
492,alekTinkok,10053112,Bronze 1,TERRAN
493,Борис,9315049,Bronze 1,ZERG
494,LSG,288483,Bronze 1,PROTOSS
495,Flaminika,2013749,Bronze 1,PROTOSS
496,Bora,1376528,Bronze 1,TERRAN
497,zavod,1805069,Bronze 1,RANDOM
498,GSTLT,7903057,Bronze 1,PROTOSS
499,ghostdragon,10098220,Bronze 1,ZERG
500,HERVE,1020870,Bronze 1,ZERG
501,Niska,10128477,Bronze 1,TERRAN
502,sashuly,817237,Bronze 1,TERRAN
503,Xarcrom,9535333,Bronze 1,PROTOSS
504,WallStreet,10030466,Bronze 1,TERRAN
505,Manowar,2449690,Bronze 1,TERRAN
506,Colin,1808803,Bronze 1,TERRAN
507,Barwize,6443780,Bronze 1,TERRAN
508,Tona,8500062,Bronze 1,PROTOSS
509,calie,8186322,Bronze 1,TERRAN
510,cmvpolska,6872999,Bronze 1,TERRAN
511,Sulima,412402,Bronze 1,TERRAN
512,Luke,7963969,Bronze 1,TERRAN
513,Lochy,7141438,Bronze 1,TERRAN
514,Daveez,3529185,Bronze 1,TERRAN
515,Lomigistrin,10038685,Bronze 1,TERRAN
516,Spanky,9367137,Bronze 1,ZERG
517,gaijin,10195333,Bronze 1,TERRAN
518,IIIIIIIIIIII,10042961,Bronze 1,TERRAN
519,sfierDX,9711402,Bronze 1,ZERG
520,Dédé,9580399,Bronze 1,ZERG
521,Snaik,1233089,Bronze 1,ZERG
522,NikDem,797278,Bronze 1,TERRAN
523,Nave,6276057,Bronze 1,ZERG
524,smyq,2394379,Bronze 1,TERRAN
525,YOAV,8682513,Bronze 1,TERRAN
526,Zotár,8161002,Bronze 1,PROTOSS
527,Savetheworld,6507472,Bronze 1,TERRAN
528,Kvadratniy,196894,Bronze 1,TERRAN
529,Neverest,2534679,Bronze 1,TERRAN
530,moguli,10056809,Bronze 1,TERRAN
531,MrB,10013286,Bronze 1,ZERG
532,leon,9909268,Bronze 1,ZERG
533,PopNutFR,9644030,Bronze 1,PROTOSS
534,mmind,925267,Bronze 1,TERRAN
535,DarkRage,9333525,Bronze 1,RANDOM
536,Zail,10019251,Bronze 1,TERRAN
537,Birkster,9643869,Bronze 1,ZERG
538,SimpForDaddy,10057007,Bronze 1,TERRAN
539,архангел,7459262,Bronze 1,ZERG
540,aras,9211568,Bronze 1,PROTOSS
541,fernand,3085534,Bronze 1,ZERG
542,LinkinDust,1759935,Bronze 1,RANDOM
543,Quaid,1391153,Bronze 1,TERRAN
544,Raven,10014123,Bronze 1,TERRAN
545,MrLong,2653617,Bronze 1,TERRAN
546,Argonis,8923307,Bronze 1,TERRAN
547,Teimos,1000979,Bronze 1,ZERG
548,Luka,1241213,Bronze 1,PROTOSS
549,Atillla,9720905,Bronze 1,PROTOSS
550,Yoshi,10068121,Bronze 1,ZERG
551,Intruzer,7390785,Bronze 1,PROTOSS
552,majd,9410788,Bronze 1,ZERG
553,Procarbon,2237256,Bronze 1,TERRAN
554,Toronto,257424,Bronze 1,TERRAN
555,VasislavII,9848297,Bronze 1,TERRAN
556,MORTIFER,7376391,Bronze 1,TERRAN
557,KosmosChop,9456740,Bronze 1,PROTOSS
558,Gavnuk,4937719,Bronze 1,TERRAN
559,URIUS,6935276,Bronze 1,PROTOSS
560,rambo,3128185,Bronze 1,RANDOM
561,Cobainkillme,9094186,Bronze 1,PROTOSS
562,JoLuke,9210879,Bronze 1,PROTOSS
563,Timo,1167830,Bronze 1,ZERG
564,marcus,2447622,Bronze 1,TERRAN
565,Holeg,297976,Bronze 1,TERRAN
566,sQubany,4115057,Bronze 1,PROTOSS
