,0,1,2,3
700,248427,Platinum,2,eu
701,248036,Platinum,2,eu
702,247378,Platinum,2,eu
703,247950,Platinum,2,eu
704,247612,Platinum,2,eu
705,247534,Platinum,2,eu
706,248589,Platinum,2,eu
707,248746,Platinum,2,eu
708,247819,Platinum,2,eu
709,247695,Diamond,1,eu
710,248016,Diamond,1,eu
711,247865,Diamond,1,eu
712,248470,Diamond,1,eu
713,248256,Diamond,1,eu
714,247980,Diamond,1,eu
715,248681,Diamond,1,eu
716,247218,Diamond,1,eu
717,247088,Diamond,1,eu
718,247054,Diamond,1,eu
719,248897,Diamond,1,eu
720,247319,Diamond,1,eu
721,247279,Diamond,1,eu
722,248517,Diamond,1,eu
723,248418,Diamond,1,eu
724,247188,Diamond,1,eu
725,248211,Diamond,1,eu
726,248366,Diamond,1,eu
727,247128,Diamond,1,eu
728,247530,Diamond,1,eu
729,248160,Diamond,1,eu
730,247827,Diamond,1,eu
731,248749,Diamond,1,eu
732,247496,Diamond,1,eu
733,248626,Diamond,1,eu
734,248569,Diamond,1,eu
735,248320,Diamond,1,eu
736,247604,Diamond,1,eu
737,247567,Diamond,1,eu
738,247461,Diamond,1,eu
739,246932,Diamond,1,eu
740,247782,Diamond,1,eu
741,248116,Diamond,1,eu
742,247639,Diamond,1,eu
743,247426,Diamond,1,eu
744,248798,Diamond,1,eu
745,247392,Diamond,1,eu
746,247025,Diamond,1,eu
747,247350,Diamond,1,eu
748,247248,Diamond,1,eu
749,248055,Diamond,1,eu
750,247932,Diamond,1,eu
751,247735,Diamond,1,eu
752,248844,Diamond,1,eu
753,247321,Diamond,2,eu
754,247245,Diamond,2,eu
755,247113,Diamond,2,eu
756,247504,Diamond,2,eu
757,248602,Diamond,2,eu
758,248425,Diamond,2,eu
759,247335,Diamond,2,eu
760,247207,Diamond,2,eu
761,246940,Diamond,2,eu
762,247678,Diamond,2,eu
763,247565,Diamond,2,eu
764,247479,Diamond,2,eu
765,248104,Diamond,2,eu
766,248718,Diamond,2,eu
767,248546,Diamond,2,eu
768,248325,Diamond,2,eu
769,248212,Diamond,2,eu
770,247958,Diamond,2,eu
771,248692,Diamond,2,eu
772,248269,Diamond,2,eu
773,247068,Diamond,2,eu
774,248190,Diamond,2,eu
775,247849,Diamond,2,eu
776,248300,Diamond,2,eu
777,247293,Diamond,2,eu
778,247033,Diamond,2,eu
779,247748,Diamond,2,eu
780,247656,Diamond,2,eu
781,247522,Diamond,2,eu
782,247928,Diamond,2,eu
783,248655,Diamond,2,eu
784,248490,Diamond,2,eu
785,247615,Diamond,2,eu
786,247270,Diamond,2,eu
787,247152,Diamond,2,eu
788,248008,Diamond,2,eu
789,248751,Diamond,2,eu
790,248462,Diamond,2,eu
791,247355,Diamond,2,eu
792,247227,Diamond,2,eu
793,247014,Diamond,2,eu
794,247701,Diamond,2,eu
795,247588,Diamond,2,eu
796,248347,Diamond,2,eu
797,247982,Diamond,2,eu
798,247095,Diamond,2,eu
799,247869,Diamond,2,eu
800,248566,Diamond,2,eu
801,247186,Diamond,2,eu
802,247050,Diamond,2,eu
803,247802,Diamond,2,eu
804,247547,Diamond,2,eu
805,248231,Diamond,2,eu
806,248070,Diamond,2,eu
807,248520,Diamond,2,eu
808,248397,Diamond,2,eu
809,247372,Diamond,2,eu
810,247451,Diamond,2,eu
811,248629,Diamond,2,eu
812,248372,Diamond,2,eu
813,248863,Diamond,2,eu
814,247768,Diamond,2,eu
815,247434,Diamond,2,eu
816,248045,Diamond,2,eu
817,247830,Diamond,2,eu
818,248810,Diamond,2,eu
819,248884,Diamond,2,eu
820,247724,Diamond,2,eu
821,247634,Diamond,2,eu
822,247395,Diamond,2,eu
823,247905,Diamond,2,eu
824,248840,Diamond,2,eu
